,City,Avg_Annual_Growth_Number_of_Taxpayers,Avg_Annual_Growth_Average_Assets_in_Euro,Avg_Annual_Growth_Average_Tax_in_Euro
0,AGDE,10.503056884635832,-0.11534864636809032,-0.006200538392457489
1,AIX EN PROVENCE,3.927482013412232,1.9187838892171556,2.5075090938881925
2,AIX-LES-BAINS,10.53799629304458,3.427504084081317,7.966225168018539
3,AJACCIO,6.020630706621045,-0.33200694556527344,-0.369919044710767
4,ALBI,0.07444168734491304,3.4892672932227726,8.893814904066746
5,AMIENS,1.844908667513458,0.24757417672102378,-0.16822958687822975
6,ANGERS,11.68970058881022,3.9320950864862,7.545802499153848
7,ANGLET,17.371690094802222,0.710814479815467,0.21899598463686556
8,ANNECY,9.356501369092358,0.9890709721322909,1.2143320560285253
9,ANTIBES,1.161547660935666,1.5694965845604474,3.307757968603679
10,ANTONY,8.900940921495573,1.2380740703416566,3.111049589441738
11,ARLES,6.009066142023435,1.8713391094920173,3.3568266300696457
12,ARRAS,1.9607843137254901,2.982831172042172,10.346464167062173
13,ASNIERES,9.672022243959523,0.6169464551015525,-2.60536262617948
14,AUBAGNE,0.9649122807017543,-3.403042638576847,1.1035283432417238
15,AULNAY SOUS BOIS,1.0173880873103958,1.9485759057332785,5.801973927104334
16,AVIGNON,2.0947576222855893,-0.47975077537449656,1.4121341203853748
17,BASTIA,1.6763915902565527,1.4416919241927981,3.0646596957116636
18,BAYONNE,8.176448874123293,2.202902529602426,3.42856230955934
19,BEAUNE,-1.9230769230769231,2.9727791101225196,4.383389261744966
20,BEAUVAIS,1.092896174863388,1.9403074977609218,-3.0266001716373485
21,BESANCON,3.113141140056227,2.23524875339826,4.825741525359583
22,BEZIERS,3.965601433955864,-0.3358157161106336,2.601584773634085
23,BIARRITZ,15.932715567131092,0.9725491319434069,-0.8483585624440927
24,BOIS-COLOMBES,12.0771950200705,1.4082717896244918,2.9835056856635127
25,BORDEAUX,8.323304913441312,1.9175547921522649,2.869722157872086
26,BOULOGNE BILLANCOURT,5.9815948870679385,1.3203377798307872,1.7400183627774524
