,Commune_Code_INSEE,Year,Number_of_Taxpayers,Average_Assets_in_Euro,Average_Tax_in_Euro
713,34003,2019,57.0,2121132.0,8349.0
562,34003,2020,66.0,2155865.0,8598.0
255,34003,2021,64.0,2175962.0,8893.0
166,34003,2022,76.0,2112517.0,8321.0
681,13001,2019,875.0,2192630.0,8895.0
588,13001,2020,895.0,2285318.0,9664.0
224,13001,2021,941.0,2238380.0,9219.0
59,13001,2022,982.0,2318581.0,9540.0
773,73008,2019,68.0,1937107.0,7006.0
426,73008,2020,67.0,2052633.0000000002,7639.0
306,73008,2021,78.0,1997463.0,7330.0
148,73008,2022,91.0,2137414.0,8716.0
623,2A004,2019,161.0,2407402.0,11106.0
437,2A004,2020,162.0,2465626.0,11599.0
240,2A004,2021,185.0,2418990.0,11216.0
47,2A004,2022,191.0,2382146.0,10964.0
781,81004,2019,65.0,1906581.0,6477.0
568,81004,2020,62.0,1967843.0,6819.0
342,81004,2021,65.0,2024403.0,7282.0
165,81004,2022,65.0,2113080.0,8346.0
125,13002,2022,51.0,2181350.0,10338.0
690,80021,2019,160.0,2176603.0,8769.0
537,80021,2020,165.0,2106323.0,8044.000000000001
341,80021,2021,167.0,2154557.0,8469.0
122,80021,2022,169.0,2190789.0,8679.0
779,49007,2019,160.0,1926256.0,6715.0
573,49007,2020,158.0,1947457.0,6851.0
271,49007,2021,177.0,2000162.0,7227.0
137,49007,2022,220.0,2159961.0,8320.0
717,64024,2019,190.0,2057209.0,8322.0
553,64024,2020,207.0,2066437.0,7957.0
290,64024,2021,252.0,2152651.0,8967.0
171,64024,2022,306.0,2099088.0,8281.0
749,74010,2019,476.0,1986205.0,7492.0
414,74010,2020,507.0,2005704.9999999998,7509.0
308,74010,2021,552.0,2033965.0,7710.0
188,74010,2022,622.0,2045690.0,7767.0
679,06004,2019,418.0,2187869.0,8929.0
577,06004,2020,407.0,2179041.0,8780.0
211,06004,2021,430.0,2245773.0,9240.0
74,06004,2022,432.0,2291801.0,9827.0
776,92002,2019,241.0,1960008.0,6960.0
449,92002,2020,257.0,2015587.0,7526.0
360,92002,2021,289.0,2005014.0,7384.0
191,92002,2022,311.0,2033147.0,7612.0
786,13004,2019,68.0,1869322.0,6264.0
589,13004,2020,73.0,1932999.0,6861.0
225,13004,2021,77.0,1951809.0,6855.0
202,13004,2022,81.0,1975904.0,6898.0
288,62041,2021,51.0,1884753.0,6321.0
208,62041,2022,52.0,1940972.0,6975.0
639,92004,2019,308.0,2252531.0,10053.0
450,92004,2020,331.0,2210552.0,8982.0
361,92004,2021,347.0,2237275.0,8847.0
71,92004,2022,405.0,2293332.0,9231.0
740,13005,2019,80.0,2263026.0,7726.0
590,13005,2020,80.0,2057735.0,8050.000000000001
226,13005,2021,76.0,1970332.0,6919.0
192,13005,2022,82.0,2031608.0,7830.0
752,93005,2019,51.0,2038816.0,7385.0
388,93005,2021,53.0,2137777.0,8586.0
162,93005,2022,52.0,2117325.0,8186.0
762,84007,2019,94.0,2068354.0,7206.0
602,84007,2020,94.0,2029763.0,7301.0
351,84007,2021,97.0,1994180.0,7039.0
189,84007,2022,100.0,2037645.0,7497.0
654,2B033,2019,59.0,2196292.0,9580.0
438,2B033,2020,61.0,2240652.0,9871.0
241,2B033,2021,61.0,2232820.0,9719.0
73,2B033,2022,62.0,2292098.0,10467.0
719,64102,2019,114.0,2071024.0,8246.0
554,64102,2020,129.0,2071107.0,7940.0
291,64102,2021,133.0,2188455.0,8537.0
110,64102,2022,144.0,2208999.0,9090.0
233,21054,2021,52.0,2346323.0,9536.0
37,21054,2022,51.0,2416074.0,9954.0
605,60057,2019,61.0,2895949.0,15666.0
535,60057,2020,61.0,3055466.0,13556.0
286,60057,2021,61.0,3129108.0,13607.0
2,60057,2022,63.0,3063474.0,14153.0
771,25056,2019,97.0,1970040.0,7082.0
429,25056,2020,94.0,2038635.0000000002,7353.0
235,25056,2021,102.0,2051255.0,7830.0
167,25056,2022,106.0,2104686.0,8156.0
651,34032,2019,79.0,2285524.0,9725.0
563,34032,2020,74.0,2295292.0,9706.0
256,34032,2021,78.0,2254989.0,10109.0
88,34032,2022,88.0,2262229.0,10498.0
644,64122,2019,262.0,2243840.0,9875.0
555,64122,2020,273.0,2213642.0,8781.0
292,64122,2021,332.0,2262827.0,9104.0
66,64122,2022,405.0,2309024.0,9546.0
785,92009,2019,123.0,1929661.0,6296.0
451,92009,2020,133.0,2024495.0,6943.0
362,92009,2021,152.0,2026579.0,7022.0
199,92009,2022,173.0,2010515.0,6849.0
631,92014,2019,158.0,2305257.0,10417.0
453,92014,2020,162.0,2314252.0,9868.0
364,92014,2021,181.0,2295596.0,9400.0
61,92014,2022,186.0,2317703.0,9888.0
174,18033,2022,52.0,2087067.0,8250.0
633,29019,2019,76.0,2356790.0,10278.0
430,29019,2020,80.0,2413798.0,10697.0
239,29019,2021,79.0,2452426.0,11760.0
28,29019,2022,93.0,2468531.0,11583.0
606,19031,2019,58.0,2718003.0,15376.0
542,19031,2020,59.0,2764393.0,15444.0
232,19031,2021,59.0,2850188.0,14878.0
12,19031,2022,66.0,2759759.0,14534.0
758,69029,2019,64.0,2012265.0,7328.0
419,69029,2020,63.0,1977913.0,7230.0
298,69029,2021,66.0,2042233.0,7487.0
193,69029,2022,70.0,2030115.0,7342.0
664,91114,2019,56.0,2215556.0,9365.0
446,91114,2020,59.0,2148390.0,8575.0
356,91114,2021,59.0,2349602.0,11331.0
102,91114,2022,64.0,2234966.0,9753.0
787,94016,2019,51.0,1901747.0,6220.0
501,94016,2020,51.0,1982763.0,6764.0
393,94016,2021,60.0,2015517.0,7102.0
187,94016,2022,61.0,2048501.0,7170.0
666,14118,2019,197.0,2192665.0,9311.0
538,14118,2020,193.0,2184839.0,9207.0
230,14118,2021,213.0,2236565.0,9557.0
92,14118,2022,235.0,2255639.0,9789.0
741,06027,2019,153.0,2004050.0,7723.0
578,06027,2020,154.0,2058262.0,8122.0
212,06027,2021,160.0,2040286.0,7844.0
86,06027,2022,161.0,2266062.0,8512.0
694,69034,2019,208.0,2224681.0,8675.0
420,69034,2020,214.0,2267262.0,9309.0
299,69034,2021,232.0,2407934.0,10606.0
35,69034,2022,267.0,2433972.0,9534.0
614,06029,2019,626.0,2770439.0,12642.0
579,06029,2020,658.0,2901833.0,12827.0
213,06029,2021,664.0,2827815.0,12414.0
4,06029,2022,707.0,3044836.0,12816.0
352,84031,2021,53.0,2027157.0,7295.0
206,84031,2022,59.0,1954067.0,6840.0
77,44026,2022,58.0,2291033.0,9854.0
564,34057,2020,97.0,2199451.0,9426.0
257,34057,2021,102.0,2289629.0,11361.0
41,34057,2022,103.0,2403847.0,11818.0
85,85047,2022,54.0,2269019.0,10195.0
768,73065,2019,110.0,1994945.0,7131.0
427,73065,2020,110.0,2084616.0,8125.0
307,73065,2021,117.0,1999840.0,6548.0
183,73065,2022,124.0,2058732.0,7479.0
686,94017,2019,63.0,2116037.0,8820.0
502,94017,2020,62.0,2106021.0,8677.0
394,94017,2021,70.0,2128889.0,8654.0
129,94017,2022,76.0,2167405.0,8917.0
724,94018,2019,199.0,2127499.0,8110.0
503,94018,2020,211.0,2127032.0,8118.0
395,94018,2021,228.0,2152178.0,8343.0
128,94018,2022,245.0,2176289.0,8415.0
636,28085,2019,88.0,2274040.0,10164.0
434,28085,2020,84.0,2381736.0,10929.0
238,28085,2021,86.0,2315656.0,10153.0
55,28085,2022,96.0,2337133.0,10689.0
674,92019,2019,101.0,2147625.0,9064.0
454,92019,2020,110.0,2081024.0000000002,8022.0
365,92019,2021,114.0,2125800.0,8491.0
157,92019,2022,126.0,2124573.0,8238.0
656,92020,2019,89.0,2182222.0,9474.0
455,92020,2020,92.0,2161120.0,9204.0
366,92020,2021,99.0,2212116.0,9699.0
96,92020,2022,112.0,2246086.0,9911.0
745,78146,2019,232.0,2086994.0,7527.0
517,78146,2020,222.0,2097904.0,7571.0
334,78146,2021,242.0,2093601.0,7388.0
158,78146,2022,272.0,2122436.0,7476.0
788,92022,2019,108.0,1859030.0,6170.0
456,92022,2020,112.0,1937919.0,6799.0
367,92022,2021,118.0,1956542.0,6861.0
205,92022,2022,143.0,1965197.0,6836.0
772,92023,2019,251.0,2007314.0,7012.0
457,92023,2020,261.0,2049135.0000000002,7312.0
368,92023,2021,294.0,2069916.0,7547.0
177,92023,2022,333.0,2081259.0,7541.0
780,63113,2019,107.0,1936636.0,6514.0
418,63113,2020,114.0,1955280.0,6836.0
289,63113,2021,115.0,2001395.0,7452.0
169,63113,2022,127.0,2104046.0,8096.0
725,92024,2019,52.0,2081637.0,8105.0
369,92024,2021,59.0,2274025.0,9329.0
127,92024,2022,62.0,2176911.0,9074.0
619,68066,2019,85.0,2539133.0,11673.0
440,68066,2020,90.0,2502878.0,11356.0
296,68066,2021,91.0,2400864.0,11252.0
48,68066,2022,94.0,2376246.0,11295.0
757,92025,2019,182.0,2025123.0,7339.0
458,92025,2020,192.0,2046990.9999999998,7268.0
370,92025,2021,229.0,2045460.0,7322.0
155,92025,2022,242.0,2126991.0,8046.0
624,60159,2019,101.0,2672753.0,11081.0
536,60159,2020,100.0,2791353.0,15025.0
287,60159,2021,104.0,2808925.0,12020.0
13,60159,2022,114.0,2728272.0,13032.0
754,92026,2019,349.0,2027190.0,7359.0
459,92026,2020,377.0,2043659.0,7496.0
371,92026,2021,418.0,2076787.0,7699.0
179,92026,2022,453.0,2073787.0,7595.0
753,94028,2019,77.0,2003732.0,7380.0
504,94028,2020,78.0,1986890.0,7120.0
396,94028,2021,73.0,2051952.0,7768.0
181,94028,2022,81.0,2066568.0,7757.0
765,59163,2019,85.0,2168735.0,7149.0
528,59163,2020,90.0,2167695.0,7503.0
279,59163,2021,95.0,2345519.0,8725.0
69,59163,2022,111.0,2295986.0,7722.0
689,21231,2019,174.0,2173765.0,8786.0
428,21231,2020,176.0,2189934.0,8714.0
234,21231,2021,188.0,2198908.0,9221.0
138,21231,2022,200.0,2159030.0,8599.0
652,83050,2019,71.0,2181197.0,9623.0
595,83050,2020,70.0,2166569.0,9748.0
344,83050,2021,70.0,2053548.0,8133.0
182,83050,2022,68.0,2060808.0,8589.0
742,59183,2019,53.0,2027053.0,7673.0
529,59183,2020,59.0,2063524.9999999998,8042.0
280,59183,2021,65.0,2033788.0,7795.0
132,59183,2022,59.0,2164627.0,8918.0
247,33162,2021,52.0,2076615.0,8194.0
197,33162,2022,57.0,2019978.0,7732.0
760,92032,2019,74.0,1989128.0,7290.0
460,92032,2020,77.0,2019588.0000000002,7443.0
372,92032,2021,89.0,2033532.0,7491.0
196,92032,2022,94.0,2025241.0,7227.0
657,94033,2019,271.0,2331649.0,9473.0
505,94033,2020,270.0,2354795.0,9713.0
397,94033,2021,275.0,2350111.0,9238.0
29,94033,2022,289.0,2464082.0,9964.0
718,83061,2019,142.0,2073239.0,8252.0
596,83061,2020,144.0,2199691.0,8213.0
345,83061,2021,138.0,1993351.0,7522.0
180,83061,2022,149.0,2068631.0,8196.0
663,05061,2019,57.0,2235849.0,9388.0
594,05061,2020,57.0,2224957.0,8488.0
210,05061,2021,65.0,2268207.0,8156.0
87,05061,2022,71.0,2264449.0,8403.0
759,91272,2019,98.0,2025798.0,7314.0
447,91272,2020,100.0,2064804.0,7524.0
357,91272,2021,105.0,2076096.0,7609.0
151,91272,2022,118.0,2132069.0,7918.0
706,33192,2019,69.0,2137297.0,8463.0
546,33192,2020,71.0,2260960.0,9111.0
248,33192,2021,75.0,2371111.0,9858.0
26,33192,2022,80.0,2472298.0,10348.0
669,06069,2019,124.0,2160182.0,9162.0
581,06069,2020,126.0,2806244.0,18665.0
215,06069,2021,125.0,2938801.0,10202.0
107,06069,2022,123.0,2224910.0,9436.0
695,38185,2019,178.0,2167094.0,8652.0
416,38185,2020,172.0,2157148.0,8816.0
263,38185,2021,174.0,2224496.0,8388.0
82,38185,2022,175.0,2275227.0,9034.0
249,33199,2021,53.0,2030226.0,8054.0
201,33199,2022,68.0,1986092.0,7480.0
744,83069,2019,218.0,2080389.0,7623.0
597,83069,2020,235.0,2030627.0,7436.0
346,83069,2021,237.0,2117763.0,7902.0
133,83069,2022,252.0,2163800.0,8255.0
764,92040,2019,348.0,2027966.0,7189.0
462,92040,2020,380.0,2035225.0,7379.0
374,92040,2021,449.0,2058724.0,7522.0
185,92040,2022,504.0,2055431.0,7464.0
728,94038,2019,56.0,2032772.0,8003.0
506,94038,2020,57.0,1985493.0,7559.0
398,94038,2021,61.0,1966281.0,7305.0
207,94038,2022,64.0,1952700.0,7438.0
750,78126,2019,189.0,2106718.0,7394.0
516,78126,2020,195.0,2290647.0,7477.0
333,78126,2021,205.0,2081858.0,7169.0
150,78126,2022,217.0,2133828.0,7671.0
700,13028,2019,96.0,2079346.0,8536.0
591,13028,2020,100.0,2089652.0,8364.0
227,13028,2021,109.0,2132562.0,8726.0
141,13028,2022,122.0,2155687.0,9050.0
730,92035,2019,143.0,2077514.0,7931.0
461,92035,2020,165.0,2197033.0,9272.0
373,92035,2021,178.0,2181441.0,8796.0
117,92035,2022,194.0,2199215.0,9203.0
630,59368,2019,53.0,2531042.0,10561.0
532,59368,2020,54.0,2359042.0,9111.0
283,59368,2021,58.0,2391066.0,11929.0
22,59368,2022,64.0,2486072.0,9666.0
734,17300,2019,220.0,2072775.0,7873.0
541,17300,2020,236.0,2087858.0000000002,7857.0
231,17300,2021,268.0,2127345.0,8278.0
136,17300,2022,305.0,2161802.0,8229.0
748,83126,2019,59.0,1924148.0,7498.0
599,83126,2020,54.0,1966644.0,8045.999999999999
348,83126,2021,61.0,1858217.0,6738.0
209,83126,2022,64.0,1887283.0,6705.0
685,33529,2019,196.0,2266493.0,8843.0
551,33529,2020,195.0,2309321.0,9374.0
254,33529,2021,234.0,2280975.0,9896.0
80,33529,2022,282.0,2280552.0,9076.0
660,59328,2019,60.0,2364093.0,9423.0
530,59328,2020,70.0,2458088.0,9225.0
281,59328,2021,89.0,2424694.0,9942.0
50,59328,2022,92.0,2360265.0,9299.0
618,53130,2019,66.0,2479986.0,11821.0
574,53130,2020,67.0,2446329.0,10555.0
273,53130,2021,71.0,2347022.0,9974.0
43,53130,2022,80.0,2396354.0,10426.0
621,33069,2019,181.0,2426451.0,11318.0
545,33069,2020,197.0,2468063.0,11565.0
246,33069,2021,215.0,2451929.0,11819.0
38,33069,2022,259.0,2410045.0,11182.0
642,06030,2019,162.0,2317615.0,9959.0
580,06030,2020,158.0,2306599.0,9993.0
214,06030,2021,156.0,2485858.0,11856.0
24,06030,2022,158.0,2478350.0,11687.0
783,78158,2019,271.0,1957630.0,6340.0
518,78158,2020,320.0,2043637.0,7073.0
335,78158,2021,355.0,2140067.0,7867.0
144,78158,2022,379.0,2146550.0,7995.0
1,97113,2022,57.0,3260706.0,16404.0
655,76351,2019,103.0,2202851.0,9551.0
539,76351,2020,96.0,2184636.0,9070.0
330,76351,2021,112.0,2192983.0,9209.0
131,76351,2022,118.0,2164953.0,8925.0
716,72181,2019,155.0,2120569.0,8326.0
575,72181,2020,158.0,2173667.0,8726.0
305,72181,2021,163.0,2218842.0,9019.0
109,72181,2022,173.0,2216505.0,9133.0
710,94058,2019,176.0,2164142.0,8402.0
509,94058,2020,173.0,2113725.0,7758.0
401,94058,2021,195.0,2162983.0,8636.0
139,94058,2022,203.0,2158288.0,8492.0
756,92060,2019,61.0,2099971.0,7346.0
469,92060,2020,70.0,2154687.0,7935.0
381,92060,2021,71.0,2219919.0,8732.0
116,92060,2022,75.0,2201628.0,8423.0
497,93045,2020,51.0,2027136.0,7320.0
389,93045,2021,53.0,1939892.0,6790.0
27,93045,2022,58.0,2470766.0,13988.0
687,85194,2019,125.0,2135252.0,8815.0
576,85194,2020,131.0,2167100.0,9101.0
353,85194,2021,151.0,2188586.0,9142.0
160,85194,2022,193.0,2118891.0,8533.0
647,92044,2019,593.0,2301775.0,9777.0
463,92044,2020,633.0,2316840.0,9453.0
375,92044,2021,674.0,2337482.0,9485.0
57,92044,2022,732.0,2332997.0,9423.0
643,59350,2019,283.0,2367618.0,9904.0
531,59350,2020,304.0,2389999.0,10621.0
282,59350,2021,325.0,2256665.0,8556.0
39,59350,2022,366.0,2406814.0,9731.0
640,87085,2019,131.0,2285481.0,9985.0
552,87085,2020,139.0,2287185.0,9998.0
355,87085,2021,138.0,2373323.0,11236.0
63,87085,2022,149.0,2314909.0,10543.0
731,94046,2019,110.0,2081845.0,7917.0
507,94046,2020,118.0,2113140.0,8178.000000000001
399,94046,2021,126.0,2146757.0,8447.0
135,94046,2022,136.0,2163052.0,8631.0
766,78358,2019,231.0,2038385.0,7143.0
519,78358,2020,240.0,2142351.0,8090.999999999999
336,78358,2021,257.0,2136473.0,8198.0
152,78358,2022,301.0,2131771.0,8021.0
675,92046,2019,62.0,2336846.0,9058.0
464,92046,2020,67.0,2263465.0,8779.0
376,92046,2021,80.0,2330760.0,9330.0
54,92046,2022,88.0,2339674.0,9523.0
616,06079,2019,127.0,2395674.0,12211.0
582,06079,2020,116.0,2493737.0,13506.0
216,06079,2021,119.0,2624613.0,15158.0
15,06079,2022,135.0,2583542.0,14558.0
680,59378,2019,227.0,2346145.0,8927.0
533,59378,2020,228.0,2388338.0,8570.0
284,59378,2021,248.0,2361357.0,8036.0
58,59378,2022,288.0,2319071.0,8630.0
496,77284,2020,53.0,2100117.0,7635.0
332,77284,2021,59.0,2080362.0,7457.0
153,77284,2022,61.0,2127553.0,7920.0
790,06083,2019,90.0,1832887.0,5801.0
583,06083,2020,86.0,1845684.0,6238.0
217,06083,2021,97.0,2028443.0,6979.0
176,06083,2022,93.0,2086052.0,8343.0
659,33281,2019,145.0,2145902.0,9426.0
547,33281,2020,152.0,2139603.0,8930.0
250,33281,2021,165.0,2257744.0,9734.0
113,33281,2022,177.0,2204196.0,9551.0
701,57463,2019,131.0,2142112.0,8509.0
444,57463,2020,129.0,2175512.0,8769.0
276,57463,2021,131.0,2288340.0,9985.0
79,57463,2022,134.0,2280630.0,9379.0
746,92048,2019,360.0,2104584.0,7519.0
465,92048,2020,379.0,2118038.0,7706.0
377,92048,2021,412.0,2105975.0,7404.0
163,92048,2022,467.0,2116213.0,7413.0
603,06900,2019,612.0,3574723.0,23934.0
587,06900,2020,647.0,3607926.0,24817.0
221,06900,2021,694.0,3821046.0,27026.0
778,82121,2019,70.0,1940250.0,6901.0
569,82121,2020,70.0,1970725.0,7169.0
343,82121,2021,77.0,1976514.0,7066.0
164,82121,2022,78.0,2114443.0,8140.0
236,26198,2021,53.0,2052084.0,7850.0
119,26198,2022,61.0,2198308.0,9430.0
358,91421,2021,58.0,2314293.0,10561.0
34,91421,2022,62.0,2442476.0,11803.0
641,95428,2019,118.0,2319776.0,9963.0
515,95428,2020,117.0,2353003.0,11105.0
407,95428,2021,122.0,2405212.0,10699.0
49,95428,2022,137.0,2368405.0,10204.0
720,34172,2019,440.0,2107945.0,8238.0
565,34172,2020,433.0,2289473.0,8819.0
258,34172,2021,470.0,2149149.0,8448.0
118,34172,2022,481.0,2198533.0,9275.0
777,93048,2019,87.0,2009584.0,6921.0
498,93048,2020,102.0,1958129.0,7102.0
390,93048,2021,115.0,2006194.0,7331.0
204,93048,2022,134.0,1966861.0,7117.0
650,92049,2019,179.0,2194745.0,9744.0
466,92049,2020,198.0,2143076.0,9341.0
378,92049,2021,221.0,2166077.0,9359.0
142,92049,2022,246.0,2152624.0,9205.0
83,06085,2022,269.0,2274836.0,10156.0
648,68224,2019,84.0,2240180.0,9768.0
441,68224,2020,81.0,2249483.0,9727.0
297,68224,2021,84.0,2275915.0,9669.0
60,68224,2022,90.0,2317745.0,10136.0
683,54395,2019,184.0,2314728.0,8874.0
443,54395,2020,187.0,2374111.0,11623.0
274,54395,2021,196.0,2394349.0,9595.0
40,54395,2022,210.0,2406796.0,9761.0
715,92050,2019,93.0,2105610.0,8334.0
467,92050,2020,98.0,2119191.0,8468.0
379,92050,2021,100.0,2084585.0,8144.0
130,92050,2022,110.0,2167359.0,8826.0
676,44109,2019,842.0,2206265.0,9026.0
570,44109,2020,897.0,2264963.0,9383.0
265,44109,2021,985.0,2263115.0,9294.0
755,11262,2019,52.0,1966821.0,7355.0
558,11262,2020,52.0,2002954.0,7671.0
223,11262,2021,61.0,2038151.0,8112.0
184,11262,2022,67.0,2057986.0,8138.0
735,30189,2019,209.0,2004702.0,7771.0
559,30189,2020,207.0,2071124.9999999998,8384.0
242,30189,2021,217.0,2145679.0,8911.0
120,30189,2022,237.0,2192135.0,9472.0
635,79191,2019,52.0,2256245.0,10203.0
543,79191,2020,51.0,2266692.0,10292.0
340,79191,2021,54.0,2211150.0,9419.0
159,79191,2022,56.0,2119336.0,7370.0
712,94052,2019,312.0,2801745.0,8373.0
508,94052,2020,314.0,2845109.0,8549.0
400,94052,2021,313.0,2945152.0,9252.0
8,94052,2022,338.0,2877186.0,9524.0
665,93051,2019,59.0,2293357.0,9331.0
499,93051,2020,60.0,2355900.0,10328.0
391,93051,2021,60.0,2322390.0,10276.0
51,93051,2022,64.0,2351088.0,9794.0
269,45232,2021,51.0,2350296.0,10761.0
21,45232,2022,55.0,2489825.0,11836.0
653,45234,2019,148.0,2280243.0,9592.0
436,45234,2020,141.0,2347640.0,9885.0
270,45234,2021,154.0,2278514.0,9334.0
75,45234,2022,176.0,2291263.0,9533.0
791,44114,2019,51.0,1880747.0,5680.0
571,44114,2020,57.0,1891902.0,6495.0
266,44114,2021,62.0,2021138.0,7518.0
194,44114,2022,73.0,2029909.0,7528.0
610,91477,2019,51.0,3234389.0,14644.0
448,91477,2020,55.0,3043483.0,11759.0
359,91477,2021,65.0,2930254.0,10310.0
11,91477,2022,76.0,2782407.0,9944.0
709,75110,2019,530.0,2166497.0,8407.0
485,75110,2020,593.0,2143113.0,8192.0
319,75110,2021,637.0,2178027.0,8359.0
124,75110,2022,714.0,2183052.0,8458.0
697,75113,2019,936.0,2156244.0,8602.0
622,75118,2019,799.0,2465575.0,11154.0
493,75118,2020,823.0,2598371.0,11427.0
327,75118,2021,875.0,2521034.0,11273.0
16,75118,2022,948.0,2547934.0,11627.0
693,75119,2019,471.0,2226403.0,8683.0
494,75119,2020,498.0,2258958.0,8891.0
328,75119,2021,541.0,2275077.0,8813.0
45,75119,2022,594.0,2385687.0,9972.0
613,75101,2019,517.0,2755940.0,13402.0
476,75101,2020,539.0,2805955.0,13503.0
310,75101,2021,572.0,2847199.0,13625.0
9,75101,2022,589.0,2832589.0,14142.0
723,75120,2019,469.0,2092449.0,8136.0
495,75120,2020,510.0,2155114.0,8655.0
329,75120,2021,556.0,2222816.0,8489.0
108,75120,2022,599.0,2216894.0,8527.0
625,75102,2019,303.0,2361067.0,10649.0
477,75102,2020,310.0,2393482.0,10928.0
