,Commune_Code_INSEE,Year,Number_of_Taxpayers,Average_Assets_in_Euro,Average_Tax_in_Euro
713,34003,2019,0.006423982869379015,0.14498085917675596,0.13392070484581498
562,34003,2020,0.01605995717344754,0.16245078990161244,0.14546719220959886
255,34003,2021,0.0139186295503212,0.17255913636686004,0.15914676559239505
166,34003,2022,0.02676659528907923,0.14064770473588883,0.1326223046603292
681,13001,2019,0.8822269807280515,0.18094277167972994,0.1592395084627869
588,13001,2020,0.9036402569593148,0.22756278547138342,0.19489914212844883
224,13001,2021,0.9528907922912206,0.20395400971451483,0.17426385346626477
59,13001,2022,0.9967880085653107,0.24429333871184344,0.18914908416415488
773,73008,2019,0.01820128479657388,0.0524203547100609,0.07164386737769535
426,73008,2020,0.017130620985010704,0.11052737733752693,0.10099698585671224
306,73008,2021,0.02890792291220557,0.08277808766803874,0.08666821238117317
148,73008,2022,0.042826552462526764,0.15317034502773674,0.15093902156271732
623,2A004,2019,0.11777301927194861,0.28896833703944214,0.26176675168096447
437,2A004,2020,0.11884368308351179,0.31825372115610484,0.28462786923255273
240,2A004,2021,0.1434689507494647,0.2947968447191599,0.2668676095525156
47,2A004,2022,0.1498929336188437,0.27626512768847966,0.255182007883144
781,81004,2019,0.014989293361884364,0.03706645192864355,0.04711337815905403
568,81004,2020,0.01177730192719486,0.06787988284639213,0.06297240899605844
342,81004,2021,0.014989293361884364,0.09632831176983336,0.08444238349176908
165,81004,2022,0.014989293361884364,0.14093088128263387,0.1337815905402272
125,13002,2022,0.0,0.17526918118721901,0.22615348945049846
690,80021,2019,0.11670235546038546,0.17288154518828736,0.1533967076281011
537,80021,2020,0.12205567451820129,0.13753225974381322,0.1197774171110596
341,80021,2021,0.12419700214132764,0.16179289483386394,0.1394852770693253
122,80021,2022,0.12633832976445397,0.18001678940165255,0.14922327846046834
779,49007,2019,0.11670235546038546,0.0469625417283025,0.058149779735682805
573,49007,2020,0.1145610278372591,0.05762617577366802,0.06445629492232785
271,49007,2021,0.13490364025695933,0.08413562496762095,0.08189195455599352
137,49007,2022,0.1809421841541756,0.16451098730031155,0.13257593322513328
717,64024,2019,0.14882226980728053,0.11282900411888586,0.13266867609552513
553,64024,2020,0.1670235546038544,0.11747048400052507,0.11574310224901457
290,64024,2021,0.21520342612419704,0.16083421899355133,0.16257825179689311
171,64024,2022,0.27301927194860814,0.13389321477809368,0.13076744725249245
749,74010,2019,0.45503211991434694,0.07711556268889963,0.09418038488291208
414,74010,2020,0.4882226980728051,0.08692363135946357,0.09496869928124274
308,74010,2021,0.5364025695931478,0.1011377862635735,0.10428935775562254
188,74010,2022,0.6113490364025697,0.10703520191292559,0.10693252956178995
679,06004,2019,0.3929336188436831,0.17854809399047056,0.16081613725944816
577,06004,2020,0.3811563169164882,0.1741078052610482,0.1539067934152562
211,06004,2021,0.4057815845824411,0.20767252518536006,0.17523765360537907
74,06004,2022,0.4079229122055675,0.23082359107093542,0.20245768606538372
776,92002,2019,0.20342612419700215,0.06393905115234755,0.06951078135868305
449,92002,2020,0.22055674518201288,0.09189405877497736,0.09575701367957334
360,92002,2021,0.25481798715203424,0.08657607364400943,0.08917226988175281
191,92002,2022,0.278372591006424,0.10072635035729027,0.09974495710642245
786,13004,2019,0.01820128479657388,0.018325999077538624,0.0372362624623232
589,13004,2020,0.023554603854389726,0.05035412157679542,0.06492000927428704
225,13004,2021,0.027837259100642393,0.05981513550978568,0.06464178066311149
202,13004,2022,0.032119914346895075,0.0719343875414391,0.06663575237653602
288,62041,2021,0.0,0.02608745075217833,0.03987943426849061
208,62041,2022,0.0010706638115631703,0.05436436421835478,0.0702063528866218
639,92004,2019,0.27516059957173444,0.21107164970206116,0.21293763041966146
450,92004,2020,0.29978586723768735,0.189957141254799,0.16327382332483187
361,92004,2021,0.3169164882226981,0.20339821915651612,0.1570136795733828
71,92004,2022,0.37901498929336186,0.23159365020604483,0.1748203106886158
740,13005,2019,0.03104925053533191,0.2163504025583468,0.10503130071875721
590,13005,2020,0.03104925053533191,0.11309357048405089,0.12005564572223515
226,13005,2021,0.02676659528907923,0.06913179479106046,0.06760955251565032
192,13005,2022,0.03319057815845825,0.09995226739913654,0.10985392997913285
752,93005,2019,0.0,0.10357773196208153,0.08921864131694873
388,93005,2021,0.0021413276231263406,0.15335292599837336,0.14491073498724782
162,93005,2022,0.0010706638115631703,0.14306602238553368,0.12636216090888014
762,84007,2019,0.04603854389721628,0.1184346925975236,0.08091815441687916
602,84007,2020,0.04603854389721628,0.0990242732095371,0.08532344076049153
351,84007,2021,0.049250535331905786,0.08112681128622012,0.07317412473916068
189,84007,2022,0.05246252676659529,0.10298874486396714,0.0944122420588917
654,2B033,2019,0.008565310492505356,0.1827846766782738,0.19100394157199163
438,2B033,2020,0.010706638115631696,0.20509677545910565,0.20449802921400417
241,2B033,2021,0.010706638115631696,0.20115745269870267,0.19744957106422445
73,2B033,2022,0.01177730192719486,0.23097297550145635,0.2321354045907721
719,64102,2019,0.06745182012847967,0.11977764353857012,0.12914444702063527
554,64102,2020,0.08351177730192721,0.11981939070265513,0.11495478785068397
291,64102,2021,0.0877944325481799,0.1788428390284681,0.1426385346626478
110,64102,2022,0.09957173447537473,0.18917601660631778,0.1682819383259912
