,Region,Department,Commune_Code_INSEE,City
713,OCCITANIE,HERAULT,34003,AGDE
562,OCCITANIE,HERAULT,34003,AGDE
255,OCCITANIE,HERAULT,34003,AGDE
166,OCCITANIE,HERAULT,34003,AGDE
681,PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHONE,13001,AIX EN PROVENCE
588,PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHONE,13001,AIX EN PROVENCE
224,PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHONE,13001,AIX EN PROVENCE
59,PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHONE,13001,AIX EN PROVENCE
773,AUVERGNE-RHONE-ALPES,SAVOIE,73008,AIX-LES-BAINS
426,AUVERGNE-RHONE-ALPES,SAVOIE,73008,AIX-LES-BAINS
306,AUVERGNE-RHONE-ALPES,SAVOIE,73008,AIX-LES-BAINS
148,AUVERGNE-RHONE-ALPES,SAVOIE,73008,AIX-LES-BAINS
623,CORSE,CORSE-DU-SUD,2A004,AJACCIO
437,CORSE,CORSE-DU-SUD,2A004,AJACCIO
240,CORSE,CORSE-DU-SUD,2A004,AJACCIO
47,CORSE,CORSE-DU-SUD,2A004,AJACCIO
781,OCCITANIE,TARN,81004,ALBI
568,OCCITANIE,TARN,81004,ALBI
342,OCCITANIE,TARN,81004,ALBI
165,OCCITANIE,TARN,81004,ALBI
125,PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHONE,13002,ALLAUCH
690,LES-HAUTS-DE-FRANCE,SOMME,80021,AMIENS
537,LES-HAUTS-DE-FRANCE,SOMME,80021,AMIENS
341,LES-HAUTS-DE-FRANCE,SOMME,80021,AMIENS
122,LES-HAUTS-DE-FRANCE,SOMME,80021,AMIENS
779,PAYS DE LA LOIRE,MAINE-ET-LOIRE,49007,ANGERS
573,PAYS DE LA LOIRE,MAINE-ET-LOIRE,49007,ANGERS
271,PAYS DE LA LOIRE,MAINE-ET-LOIRE,49007,ANGERS
137,PAYS DE LA LOIRE,MAINE-ET-LOIRE,49007,ANGERS
717,NOUVELLE-AQUITAINE,PYRENEES-ATLANTIQUES,64024,ANGLET
553,NOUVELLE-AQUITAINE,PYRENEES-ATLANTIQUES,64024,ANGLET
290,NOUVELLE-AQUITAINE,PYRENEES-ATLANTIQUES,64024,ANGLET
171,NOUVELLE-AQUITAINE,PYRENEES-ATLANTIQUES,64024,ANGLET
749,AUVERGNE-RHONE-ALPES,HAUTE-SAVOIE,74010,ANNECY
414,AUVERGNE-RHONE-ALPES,HAUTE-SAVOIE,74010,ANNECY
308,AUVERGNE-RHONE-ALPES,HAUTE-SAVOIE,74010,ANNECY
188,AUVERGNE-RHONE-ALPES,HAUTE-SAVOIE,74010,ANNECY
679,PROVENCE-ALPES-COTE D'AZUR,ALPES-MARITIMES,06004,ANTIBES
577,PROVENCE-ALPES-COTE D'AZUR,ALPES-MARITIMES,06004,ANTIBES
211,PROVENCE-ALPES-COTE D'AZUR,ALPES-MARITIMES,06004,ANTIBES
74,PROVENCE-ALPES-COTE D'AZUR,ALPES-MARITIMES,06004,ANTIBES
776,ILE-DE-FRANCE,HAUTS-DE-SEINE,92002,ANTONY
449,ILE-DE-FRANCE,HAUTS-DE-SEINE,92002,ANTONY
360,ILE-DE-FRANCE,HAUTS-DE-SEINE,92002,ANTONY
191,ILE-DE-FRANCE,HAUTS-DE-SEINE,92002,ANTONY
786,PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHONE,13004,ARLES
589,PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHONE,13004,ARLES
225,PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHONE,13004,ARLES
202,PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHONE,13004,ARLES
288,LES-HAUTS-DE-FRANCE,PAS-DE-CALAIS,62041,ARRAS
208,LES-HAUTS-DE-FRANCE,PAS-DE-CALAIS,62041,ARRAS
639,ILE-DE-FRANCE,HAUTS-DE-SEINE,92004,ASNIERES
450,ILE-DE-FRANCE,HAUTS-DE-SEINE,92004,ASNIERES
361,ILE-DE-FRANCE,HAUTS-DE-SEINE,92004,ASNIERES
71,ILE-DE-FRANCE,HAUTS-DE-SEINE,92004,ASNIERES
740,PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHONE,13005,AUBAGNE
590,PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHONE,13005,AUBAGNE
226,PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHONE,13005,AUBAGNE
192,PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHONE,13005,AUBAGNE
752,ILE-DE-FRANCE,SEINE-SAINT-DENIS,93005,AULNAY SOUS BOIS
388,ILE-DE-FRANCE,SEINE-SAINT-DENIS,93005,AULNAY SOUS BOIS
162,ILE-DE-FRANCE,SEINE-SAINT-DENIS,93005,AULNAY SOUS BOIS
762,PROVENCE-ALPES-COTE D'AZUR,VAUCLUSE,84007,AVIGNON
602,PROVENCE-ALPES-COTE D'AZUR,VAUCLUSE,84007,AVIGNON
351,PROVENCE-ALPES-COTE D'AZUR,VAUCLUSE,84007,AVIGNON
189,PROVENCE-ALPES-COTE D'AZUR,VAUCLUSE,84007,AVIGNON
654,CORSE,HAUTE-CORSE,2B033,BASTIA
438,CORSE,HAUTE-CORSE,2B033,BASTIA
241,CORSE,HAUTE-CORSE,2B033,BASTIA
73,CORSE,HAUTE-CORSE,2B033,BASTIA
719,NOUVELLE-AQUITAINE,PYRENEES-ATLANTIQUES,64102,BAYONNE
554,NOUVELLE-AQUITAINE,PYRENEES-ATLANTIQUES,64102,BAYONNE
291,NOUVELLE-AQUITAINE,PYRENEES-ATLANTIQUES,64102,BAYONNE
110,NOUVELLE-AQUITAINE,PYRENEES-ATLANTIQUES,64102,BAYONNE
233,BOURGOGNE-FRANCHE-COMTE,COTE-D'OR,21054,BEAUNE
37,BOURGOGNE-FRANCHE-COMTE,COTE-D'OR,21054,BEAUNE
605,LES-HAUTS-DE-FRANCE,OISE,60057,BEAUVAIS
535,LES-HAUTS-DE-FRANCE,OISE,60057,BEAUVAIS
286,LES-HAUTS-DE-FRANCE,OISE,60057,BEAUVAIS
2,LES-HAUTS-DE-FRANCE,OISE,60057,BEAUVAIS
771,BOURGOGNE-FRANCHE-COMTE,DOUBS,25056,BESANCON
429,BOURGOGNE-FRANCHE-COMTE,DOUBS,25056,BESANCON
235,BOURGOGNE-FRANCHE-COMTE,DOUBS,25056,BESANCON
167,BOURGOGNE-FRANCHE-COMTE,DOUBS,25056,BESANCON
651,OCCITANIE,HERAULT,34032,BEZIERS
563,OCCITANIE,HERAULT,34032,BEZIERS
256,OCCITANIE,HERAULT,34032,BEZIERS
88,OCCITANIE,HERAULT,34032,BEZIERS
644,NOUVELLE-AQUITAINE,PYRENEES-ATLANTIQUES,64122,BIARRITZ
555,NOUVELLE-AQUITAINE,PYRENEES-ATLANTIQUES,64122,BIARRITZ
292,NOUVELLE-AQUITAINE,PYRENEES-ATLANTIQUES,64122,BIARRITZ
66,NOUVELLE-AQUITAINE,PYRENEES-ATLANTIQUES,64122,BIARRITZ
785,ILE-DE-FRANCE,HAUTS-DE-SEINE,92009,BOIS-COLOMBES
451,ILE-DE-FRANCE,HAUTS-DE-SEINE,92009,BOIS-COLOMBES
362,ILE-DE-FRANCE,HAUTS-DE-SEINE,92009,BOIS-COLOMBES
199,ILE-DE-FRANCE,HAUTS-DE-SEINE,92009,BOIS-COLOMBES
631,ILE-DE-FRANCE,HAUTS-DE-SEINE,92014,BOURG LA REINE
453,ILE-DE-FRANCE,HAUTS-DE-SEINE,92014,BOURG LA REINE
364,ILE-DE-FRANCE,HAUTS-DE-SEINE,92014,BOURG LA REINE
61,ILE-DE-FRANCE,HAUTS-DE-SEINE,92014,BOURG LA REINE
174,CENTRE-VAL DE LOIRE,CHER,18033,BOURGES
633,BRETAGNE,FINISTERE,29019,BREST
430,BRETAGNE,FINISTERE,29019,BREST
239,BRETAGNE,FINISTERE,29019,BREST
28,BRETAGNE,FINISTERE,29019,BREST
606,NOUVELLE-AQUITAINE,CORREZE,19031,BRIVE
542,NOUVELLE-AQUITAINE,CORREZE,19031,BRIVE
232,NOUVELLE-AQUITAINE,CORREZE,19031,BRIVE
12,NOUVELLE-AQUITAINE,CORREZE,19031,BRIVE
758,AUVERGNE-RHONE-ALPES,RHONE,69029,BRON
419,AUVERGNE-RHONE-ALPES,RHONE,69029,BRON
298,AUVERGNE-RHONE-ALPES,RHONE,69029,BRON
193,AUVERGNE-RHONE-ALPES,RHONE,69029,BRON
664,ILE-DE-FRANCE,ESSONNE,91114,BRUNOY
446,ILE-DE-FRANCE,ESSONNE,91114,BRUNOY
356,ILE-DE-FRANCE,ESSONNE,91114,BRUNOY
102,ILE-DE-FRANCE,ESSONNE,91114,BRUNOY
787,ILE-DE-FRANCE,VAL-DE-MARNE,94016,CACHAN
501,ILE-DE-FRANCE,VAL-DE-MARNE,94016,CACHAN
393,ILE-DE-FRANCE,VAL-DE-MARNE,94016,CACHAN
187,ILE-DE-FRANCE,VAL-DE-MARNE,94016,CACHAN
666,NORMANDIE,CALVADOS,14118,CAEN
538,NORMANDIE,CALVADOS,14118,CAEN
230,NORMANDIE,CALVADOS,14118,CAEN
92,NORMANDIE,CALVADOS,14118,CAEN
741,PROVENCE-ALPES-COTE D'AZUR,ALPES-MARITIMES,06027,CAGNES SUR MER
578,PROVENCE-ALPES-COTE D'AZUR,ALPES-MARITIMES,06027,CAGNES SUR MER
212,PROVENCE-ALPES-COTE D'AZUR,ALPES-MARITIMES,06027,CAGNES SUR MER
86,PROVENCE-ALPES-COTE D'AZUR,ALPES-MARITIMES,06027,CAGNES SUR MER
694,AUVERGNE-RHONE-ALPES,RHONE,69034,CALUIRE ET CUIRE
420,AUVERGNE-RHONE-ALPES,RHONE,69034,CALUIRE ET CUIRE
299,AUVERGNE-RHONE-ALPES,RHONE,69034,CALUIRE ET CUIRE
35,AUVERGNE-RHONE-ALPES,RHONE,69034,CALUIRE ET CUIRE
614,PROVENCE-ALPES-COTE D'AZUR,ALPES-MARITIMES,06029,CANNES
579,PROVENCE-ALPES-COTE D'AZUR,ALPES-MARITIMES,06029,CANNES
213,PROVENCE-ALPES-COTE D'AZUR,ALPES-MARITIMES,06029,CANNES
4,PROVENCE-ALPES-COTE D'AZUR,ALPES-MARITIMES,06029,CANNES
352,PROVENCE-ALPES-COTE D'AZUR,VAUCLUSE,84031,CARPENTRAS
206,PROVENCE-ALPES-COTE D'AZUR,VAUCLUSE,84031,CARPENTRAS
77,PAYS DE LA LOIRE,LOIRE-ATLANTIQUE,44026,CARQUEFOU
564,OCCITANIE,HERAULT,34057,CASTELNAU LE LEZ
257,OCCITANIE,HERAULT,34057,CASTELNAU LE LEZ
41,OCCITANIE,HERAULT,34057,CASTELNAU LE LEZ
85,PAYS DE LA LOIRE,VENDEE,85047,CHALLANS
768,AUVERGNE-RHONE-ALPES,SAVOIE,73065,CHAMBERY
427,AUVERGNE-RHONE-ALPES,SAVOIE,73065,CHAMBERY
307,AUVERGNE-RHONE-ALPES,SAVOIE,73065,CHAMBERY
183,AUVERGNE-RHONE-ALPES,SAVOIE,73065,CHAMBERY
686,ILE-DE-FRANCE,VAL-DE-MARNE,94017,CHAMPIGNY SUR MARNE
502,ILE-DE-FRANCE,VAL-DE-MARNE,94017,CHAMPIGNY SUR MARNE
394,ILE-DE-FRANCE,VAL-DE-MARNE,94017,CHAMPIGNY SUR MARNE
129,ILE-DE-FRANCE,VAL-DE-MARNE,94017,CHAMPIGNY SUR MARNE
724,ILE-DE-FRANCE,VAL-DE-MARNE,94018,CHARENTON LE PONT
503,ILE-DE-FRANCE,VAL-DE-MARNE,94018,CHARENTON LE PONT
395,ILE-DE-FRANCE,VAL-DE-MARNE,94018,CHARENTON LE PONT
128,ILE-DE-FRANCE,VAL-DE-MARNE,94018,CHARENTON LE PONT
636,CENTRE-VAL DE LOIRE,EURE-ET-LOIR,28085,CHARTRES
434,CENTRE-VAL DE LOIRE,EURE-ET-LOIR,28085,CHARTRES
238,CENTRE-VAL DE LOIRE,EURE-ET-LOIR,28085,CHARTRES
55,CENTRE-VAL DE LOIRE,EURE-ET-LOIR,28085,CHARTRES
674,ILE-DE-FRANCE,HAUTS-DE-SEINE,92019,CHATENAY MALABRY
454,ILE-DE-FRANCE,HAUTS-DE-SEINE,92019,CHATENAY MALABRY
365,ILE-DE-FRANCE,HAUTS-DE-SEINE,92019,CHATENAY MALABRY
157,ILE-DE-FRANCE,HAUTS-DE-SEINE,92019,CHATENAY MALABRY
656,ILE-DE-FRANCE,HAUTS-DE-SEINE,92020,CHATILLON
455,ILE-DE-FRANCE,HAUTS-DE-SEINE,92020,CHATILLON
366,ILE-DE-FRANCE,HAUTS-DE-SEINE,92020,CHATILLON
96,ILE-DE-FRANCE,HAUTS-DE-SEINE,92020,CHATILLON
745,ILE-DE-FRANCE,YVELINES,78146,CHATOU
517,ILE-DE-FRANCE,YVELINES,78146,CHATOU
334,ILE-DE-FRANCE,YVELINES,78146,CHATOU
158,ILE-DE-FRANCE,YVELINES,78146,CHATOU
788,ILE-DE-FRANCE,HAUTS-DE-SEINE,92022,CHAVILLE
456,ILE-DE-FRANCE,HAUTS-DE-SEINE,92022,CHAVILLE
367,ILE-DE-FRANCE,HAUTS-DE-SEINE,92022,CHAVILLE
205,ILE-DE-FRANCE,HAUTS-DE-SEINE,92022,CHAVILLE
772,ILE-DE-FRANCE,HAUTS-DE-SEINE,92023,CLAMART
457,ILE-DE-FRANCE,HAUTS-DE-SEINE,92023,CLAMART
368,ILE-DE-FRANCE,HAUTS-DE-SEINE,92023,CLAMART
177,ILE-DE-FRANCE,HAUTS-DE-SEINE,92023,CLAMART
780,AUVERGNE-RHONE-ALPES,PUY-DE-DOME,63113,CLERMONT-FERRAND
418,AUVERGNE-RHONE-ALPES,PUY-DE-DOME,63113,CLERMONT-FERRAND
289,AUVERGNE-RHONE-ALPES,PUY-DE-DOME,63113,CLERMONT-FERRAND
169,AUVERGNE-RHONE-ALPES,PUY-DE-DOME,63113,CLERMONT-FERRAND
725,ILE-DE-FRANCE,HAUTS-DE-SEINE,92024,CLICHY
369,ILE-DE-FRANCE,HAUTS-DE-SEINE,92024,CLICHY
127,ILE-DE-FRANCE,HAUTS-DE-SEINE,92024,CLICHY
619,GRAND-EST,HAUT-RHIN,68066,COLMAR
440,GRAND-EST,HAUT-RHIN,68066,COLMAR
296,GRAND-EST,HAUT-RHIN,68066,COLMAR
48,GRAND-EST,HAUT-RHIN,68066,COLMAR
757,ILE-DE-FRANCE,HAUTS-DE-SEINE,92025,COLOMBES
458,ILE-DE-FRANCE,HAUTS-DE-SEINE,92025,COLOMBES
370,ILE-DE-FRANCE,HAUTS-DE-SEINE,92025,COLOMBES
155,ILE-DE-FRANCE,HAUTS-DE-SEINE,92025,COLOMBES
624,LES-HAUTS-DE-FRANCE,OISE,60159,COMPIEGNE
536,LES-HAUTS-DE-FRANCE,OISE,60159,COMPIEGNE
287,LES-HAUTS-DE-FRANCE,OISE,60159,COMPIEGNE
13,LES-HAUTS-DE-FRANCE,OISE,60159,COMPIEGNE
754,ILE-DE-FRANCE,HAUTS-DE-SEINE,92026,COURBEVOIE
459,ILE-DE-FRANCE,HAUTS-DE-SEINE,92026,COURBEVOIE
371,ILE-DE-FRANCE,HAUTS-DE-SEINE,92026,COURBEVOIE
179,ILE-DE-FRANCE,HAUTS-DE-SEINE,92026,COURBEVOIE
753,ILE-DE-FRANCE,VAL-DE-MARNE,94028,CRETEIL
504,ILE-DE-FRANCE,VAL-DE-MARNE,94028,CRETEIL
396,ILE-DE-FRANCE,VAL-DE-MARNE,94028,CRETEIL
181,ILE-DE-FRANCE,VAL-DE-MARNE,94028,CRETEIL
765,LES-HAUTS-DE-FRANCE,NORD,59163,CROIX
528,LES-HAUTS-DE-FRANCE,NORD,59163,CROIX
279,LES-HAUTS-DE-FRANCE,NORD,59163,CROIX
69,LES-HAUTS-DE-FRANCE,NORD,59163,CROIX
689,BOURGOGNE-FRANCHE-COMTE,COTE-D'OR,21231,DIJON
428,BOURGOGNE-FRANCHE-COMTE,COTE-D'OR,21231,DIJON
234,BOURGOGNE-FRANCHE-COMTE,COTE-D'OR,21231,DIJON
138,BOURGOGNE-FRANCHE-COMTE,COTE-D'OR,21231,DIJON
652,PROVENCE-ALPES-COTE D'AZUR,VAR,83050,DRAGUIGNAN
595,PROVENCE-ALPES-COTE D'AZUR,VAR,83050,DRAGUIGNAN
344,PROVENCE-ALPES-COTE D'AZUR,VAR,83050,DRAGUIGNAN
182,PROVENCE-ALPES-COTE D'AZUR,VAR,83050,DRAGUIGNAN
742,LES-HAUTS-DE-FRANCE,NORD,59183,DUNKERQUE
529,LES-HAUTS-DE-FRANCE,NORD,59183,DUNKERQUE
280,LES-HAUTS-DE-FRANCE,NORD,59183,DUNKERQUE
132,LES-HAUTS-DE-FRANCE,NORD,59183,DUNKERQUE
247,NOUVELLE-AQUITAINE,GIRONDE,33162,EYSINES
197,NOUVELLE-AQUITAINE,GIRONDE,33162,EYSINES
760,ILE-DE-FRANCE,HAUTS-DE-SEINE,92032,FONTENAY AUX ROSES
460,ILE-DE-FRANCE,HAUTS-DE-SEINE,92032,FONTENAY AUX ROSES
372,ILE-DE-FRANCE,HAUTS-DE-SEINE,92032,FONTENAY AUX ROSES
196,ILE-DE-FRANCE,HAUTS-DE-SEINE,92032,FONTENAY AUX ROSES
657,ILE-DE-FRANCE,VAL-DE-MARNE,94033,FONTENAY SOUS BOIS
505,ILE-DE-FRANCE,VAL-DE-MARNE,94033,FONTENAY SOUS BOIS
397,ILE-DE-FRANCE,VAL-DE-MARNE,94033,FONTENAY SOUS BOIS
