Region,Department,Commune_Code_INSEE,City,Number_of_Taxpayers,Average_Assets_in_Euro,Average_Tax_in_Euro,Source_File,Year
OCCITANIE,HERAULT,34003,AGDE,57.0,2121132.0,8349.0,ificom-2019.xls,2019
OCCITANIE,HERAULT,34003,AGDE,66.0,2155865.0,8598.0,ificom-2020.xlsx,2020
OCCITANIE,HERAULT,34003,AGDE,64.0,2175962.0,8893.0,ificom-2021.xlsx,2021
OCCITANIE,HERAULT,34003,AGDE,76.0,2112517.0,8321.0,ificom-2022.xlsx,2022
PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHONE,13001,AIX EN PROVENCE,875.0,2192630.0,8895.0,ificom-2019.xls,2019
PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHONE,13001,AIX EN PROVENCE,895.0,2285318.0,9664.0,ificom-2020.xlsx,2020
PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHONE,13001,AIX EN PROVENCE,941.0,2238380.0,9219.0,ificom-2021.xlsx,2021
PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHONE,13001,AIX EN PROVENCE,982.0,2318581.0,9540.0,ificom-2022.xlsx,2022
AUVERGNE-RHONE-ALPES,SAVOIE,73008,AIX-LES-BAINS,68.0,1937107.0,7006.0,ificom-2019.xls,2019
AUVERGNE-RHONE-ALPES,SAVOIE,73008,AIX-LES-BAINS,67.0,2052633.0000000002,7639.0,ificom-2020.xlsx,2020
AUVERGNE-RHONE-ALPES,SAVOIE,73008,AIX-LES-BAINS,78.0,1997463.0,7330.0,ificom-2021.xlsx,2021
AUVERGNE-RHONE-ALPES,SAVOIE,73008,AIX-LES-BAINS,91.0,2137414.0,8716.0,ificom-2022.xlsx,2022
CORSE,CORSE-DU-SUD,2A004,AJACCIO,161.0,2407402.0,11106.0,ificom-2019.xls,2019
CORSE,CORSE-DU-SUD,2A004,AJACCIO,162.0,2465626.0,11599.0,ificom-2020.xlsx,2020
CORSE,CORSE-DU-SUD,2A004,AJACCIO,185.0,2418990.0,11216.0,ificom-2021.xlsx,2021
CORSE,CORSE-DU-SUD,2A004,AJACCIO,191.0,2382146.0,10964.0,ificom-2022.xlsx,2022
OCCITANIE,TARN,81004,ALBI,65.0,1906581.0,6477.0,ificom-2019.xls,2019
OCCITANIE,TARN,81004,ALBI,62.0,1967843.0,6819.0,ificom-2020.xlsx,2020
OCCITANIE,TARN,81004,ALBI,65.0,2024403.0,7282.0,ificom-2021.xlsx,2021
OCCITANIE,TARN,81004,ALBI,65.0,2113080.0,8346.0,ificom-2022.xlsx,2022
PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHONE,13002,ALLAUCH,51.0,2181350.0,10338.0,ificom-2022.xlsx,2022
LES-HAUTS-DE-FRANCE,SOMME,80021,AMIENS,160.0,2176603.0,8769.0,ificom-2019.xls,2019
LES-HAUTS-DE-FRANCE,SOMME,80021,AMIENS,165.0,2106323.0,8044.000000000001,ificom-2020.xlsx,2020
LES-HAUTS-DE-FRANCE,SOMME,80021,AMIENS,167.0,2154557.0,8469.0,ificom-2021.xlsx,2021
LES-HAUTS-DE-FRANCE,SOMME,80021,AMIENS,169.0,2190789.0,8679.0,ificom-2022.xlsx,2022
PAYS DE LA LOIRE,MAINE-ET-LOIRE,49007,ANGERS,160.0,1926256.0,6715.0,ificom-2019.xls,2019
PAYS DE LA LOIRE,MAINE-ET-LOIRE,49007,ANGERS,158.0,1947457.0,6851.0,ificom-2020.xlsx,2020
PAYS DE LA LOIRE,MAINE-ET-LOIRE,49007,ANGERS,177.0,2000162.0,7227.0,ificom-2021.xlsx,2021
PAYS DE LA LOIRE,MAINE-ET-LOIRE,49007,ANGERS,220.0,2159961.0,8320.0,ificom-2022.xlsx,2022
NOUVELLE-AQUITAINE,PYRENEES-ATLANTIQUES,64024,ANGLET,190.0,2057209.0,8322.0,ificom-2019.xls,2019
NOUVELLE-AQUITAINE,PYRENEES-ATLANTIQUES,64024,ANGLET,207.0,2066437.0,7957.0,ificom-2020.xlsx,2020
NOUVELLE-AQUITAINE,PYRENEES-ATLANTIQUES,64024,ANGLET,252.0,2152651.0,8967.0,ificom-2021.xlsx,2021
NOUVELLE-AQUITAINE,PYRENEES-ATLANTIQUES,64024,ANGLET,306.0,2099088.0,8281.0,ificom-2022.xlsx,2022
AUVERGNE-RHONE-ALPES,HAUTE-SAVOIE,74010,ANNECY,476.0,1986205.0,7492.0,ificom-2019.xls,2019
AUVERGNE-RHONE-ALPES,HAUTE-SAVOIE,74010,ANNECY,507.0,2005704.9999999998,7509.0,ificom-2020.xlsx,2020
AUVERGNE-RHONE-ALPES,HAUTE-SAVOIE,74010,ANNECY,552.0,2033965.0,7710.0,ificom-2021.xlsx,2021
AUVERGNE-RHONE-ALPES,HAUTE-SAVOIE,74010,ANNECY,622.0,2045690.0,7767.0,ificom-2022.xlsx,2022
PROVENCE-ALPES-COTE D'AZUR,ALPES-MARITIMES,06004,ANTIBES,418.0,2187869.0,8929.0,ificom-2019.xls,2019
PROVENCE-ALPES-COTE D'AZUR,ALPES-MARITIMES,06004,ANTIBES,407.0,2179041.0,8780.0,ificom-2020.xlsx,2020
PROVENCE-ALPES-COTE D'AZUR,ALPES-MARITIMES,06004,ANTIBES,430.0,2245773.0,9240.0,ificom-2021.xlsx,2021
PROVENCE-ALPES-COTE D'AZUR,ALPES-MARITIMES,06004,ANTIBES,432.0,2291801.0,9827.0,ificom-2022.xlsx,2022
ILE-DE-FRANCE,HAUTS-DE-SEINE,92002,ANTONY,241.0,1960008.0,6960.0,ificom-2019.xls,2019
ILE-DE-FRANCE,HAUTS-DE-SEINE,92002,ANTONY,257.0,2015587.0,7526.0,ificom-2020.xlsx,2020
ILE-DE-FRANCE,HAUTS-DE-SEINE,92002,ANTONY,289.0,2005014.0,7384.0,ificom-2021.xlsx,2021
ILE-DE-FRANCE,HAUTS-DE-SEINE,92002,ANTONY,311.0,2033147.0,7612.0,ificom-2022.xlsx,2022
PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHONE,13004,ARLES,68.0,1869322.0,6264.0,ificom-2019.xls,2019
PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHONE,13004,ARLES,73.0,1932999.0,6861.0,ificom-2020.xlsx,2020
PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHONE,13004,ARLES,77.0,1951809.0,6855.0,ificom-2021.xlsx,2021
PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHONE,13004,ARLES,81.0,1975904.0,6898.0,ificom-2022.xlsx,2022
LES-HAUTS-DE-FRANCE,PAS-DE-CALAIS,62041,ARRAS,51.0,1884753.0,6321.0,ificom-2021.xlsx,2021
LES-HAUTS-DE-FRANCE,PAS-DE-CALAIS,62041,ARRAS,52.0,1940972.0,6975.0,ificom-2022.xlsx,2022
ILE-DE-FRANCE,HAUTS-DE-SEINE,92004,ASNIERES,308.0,2252531.0,10053.0,ificom-2019.xls,2019
ILE-DE-FRANCE,HAUTS-DE-SEINE,92004,ASNIERES,331.0,2210552.0,8982.0,ificom-2020.xlsx,2020
ILE-DE-FRANCE,HAUTS-DE-SEINE,92004,ASNIERES,347.0,2237275.0,8847.0,ificom-2021.xlsx,2021
ILE-DE-FRANCE,HAUTS-DE-SEINE,92004,ASNIERES,405.0,2293332.0,9231.0,ificom-2022.xlsx,2022
PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHONE,13005,AUBAGNE,80.0,2263026.0,7726.0,ificom-2019.xls,2019
PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHONE,13005,AUBAGNE,80.0,2057735.0,8050.000000000001,ificom-2020.xlsx,2020
PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHONE,13005,AUBAGNE,76.0,1970332.0,6919.0,ificom-2021.xlsx,2021
PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHONE,13005,AUBAGNE,82.0,2031608.0,7830.0,ificom-2022.xlsx,2022
ILE-DE-FRANCE,SEINE-SAINT-DENIS,93005,AULNAY SOUS BOIS,51.0,2038816.0,7385.0,ificom-2019.xls,2019
ILE-DE-FRANCE,SEINE-SAINT-DENIS,93005,AULNAY SOUS BOIS,53.0,2137777.0,8586.0,ificom-2021.xlsx,2021
ILE-DE-FRANCE,SEINE-SAINT-DENIS,93005,AULNAY SOUS BOIS,52.0,2117325.0,8186.0,ificom-2022.xlsx,2022
PROVENCE-ALPES-COTE D'AZUR,VAUCLUSE,84007,AVIGNON,94.0,2068354.0,7206.0,ificom-2019.xls,2019
PROVENCE-ALPES-COTE D'AZUR,VAUCLUSE,84007,AVIGNON,94.0,2029763.0,7301.0,ificom-2020.xlsx,2020
PROVENCE-ALPES-COTE D'AZUR,VAUCLUSE,84007,AVIGNON,97.0,1994180.0,7039.0,ificom-2021.xlsx,2021
PROVENCE-ALPES-COTE D'AZUR,VAUCLUSE,84007,AVIGNON,100.0,2037645.0,7497.0,ificom-2022.xlsx,2022
CORSE,HAUTE-CORSE,2B033,BASTIA,59.0,2196292.0,9580.0,ificom-2019.xls,2019
CORSE,HAUTE-CORSE,2B033,BASTIA,61.0,2240652.0,9871.0,ificom-2020.xlsx,2020
CORSE,HAUTE-CORSE,2B033,BASTIA,61.0,2232820.0,9719.0,ificom-2021.xlsx,2021
CORSE,HAUTE-CORSE,2B033,BASTIA,62.0,2292098.0,10467.0,ificom-2022.xlsx,2022
NOUVELLE-AQUITAINE,PYRENEES-ATLANTIQUES,64102,BAYONNE,114.0,2071024.0,8246.0,ificom-2019.xls,2019
NOUVELLE-AQUITAINE,PYRENEES-ATLANTIQUES,64102,BAYONNE,129.0,2071107.0,7940.0,ificom-2020.xlsx,2020
NOUVELLE-AQUITAINE,PYRENEES-ATLANTIQUES,64102,BAYONNE,133.0,2188455.0,8537.0,ificom-2021.xlsx,2021
NOUVELLE-AQUITAINE,PYRENEES-ATLANTIQUES,64102,BAYONNE,144.0,2208999.0,9090.0,ificom-2022.xlsx,2022
BOURGOGNE-FRANCHE-COMTE,COTE-D'OR,21054,BEAUNE,52.0,2346323.0,9536.0,ificom-2021.xlsx,2021
BOURGOGNE-FRANCHE-COMTE,COTE-D'OR,21054,BEAUNE,51.0,2416074.0,9954.0,ificom-2022.xlsx,2022
LES-HAUTS-DE-FRANCE,OISE,60057,BEAUVAIS,61.0,2895949.0,15666.0,ificom-2019.xls,2019
LES-HAUTS-DE-FRANCE,OISE,60057,BEAUVAIS,61.0,3055466.0,13556.0,ificom-2020.xlsx,2020
LES-HAUTS-DE-FRANCE,OISE,60057,BEAUVAIS,61.0,3129108.0,13607.0,ificom-2021.xlsx,2021
LES-HAUTS-DE-FRANCE,OISE,60057,BEAUVAIS,63.0,3063474.0,14153.0,ificom-2022.xlsx,2022
BOURGOGNE-FRANCHE-COMTE,DOUBS,25056,BESANCON,97.0,1970040.0,7082.0,ificom-2019.xls,2019
BOURGOGNE-FRANCHE-COMTE,DOUBS,25056,BESANCON,94.0,2038635.0000000002,7353.0,ificom-2020.xlsx,2020
BOURGOGNE-FRANCHE-COMTE,DOUBS,25056,BESANCON,102.0,2051255.0,7830.0,ificom-2021.xlsx,2021
BOURGOGNE-FRANCHE-COMTE,DOUBS,25056,BESANCON,106.0,2104686.0,8156.0,ificom-2022.xlsx,2022
OCCITANIE,HERAULT,34032,BEZIERS,79.0,2285524.0,9725.0,ificom-2019.xls,2019
OCCITANIE,HERAULT,34032,BEZIERS,74.0,2295292.0,9706.0,ificom-2020.xlsx,2020
OCCITANIE,HERAULT,34032,BEZIERS,78.0,2254989.0,10109.0,ificom-2021.xlsx,2021
OCCITANIE,HERAULT,34032,BEZIERS,88.0,2262229.0,10498.0,ificom-2022.xlsx,2022
NOUVELLE-AQUITAINE,PYRENEES-ATLANTIQUES,64122,BIARRITZ,262.0,2243840.0,9875.0,ificom-2019.xls,2019
NOUVELLE-AQUITAINE,PYRENEES-ATLANTIQUES,64122,BIARRITZ,273.0,2213642.0,8781.0,ificom-2020.xlsx,2020
NOUVELLE-AQUITAINE,PYRENEES-ATLANTIQUES,64122,BIARRITZ,332.0,2262827.0,9104.0,ificom-2021.xlsx,2021
NOUVELLE-AQUITAINE,PYRENEES-ATLANTIQUES,64122,BIARRITZ,405.0,2309024.0,9546.0,ificom-2022.xlsx,2022
ILE-DE-FRANCE,HAUTS-DE-SEINE,92009,BOIS-COLOMBES,123.0,1929661.0,6296.0,ificom-2019.xls,2019
ILE-DE-FRANCE,HAUTS-DE-SEINE,92009,BOIS-COLOMBES,133.0,2024495.0,6943.0,ificom-2020.xlsx,2020
ILE-DE-FRANCE,HAUTS-DE-SEINE,92009,BOIS-COLOMBES,152.0,2026579.0,7022.0,ificom-2021.xlsx,2021
ILE-DE-FRANCE,HAUTS-DE-SEINE,92009,BOIS-COLOMBES,173.0,2010515.0,6849.0,ificom-2022.xlsx,2022
ILE-DE-FRANCE,HAUTS-DE-SEINE,92014,BOURG LA REINE,158.0,2305257.0,10417.0,ificom-2019.xls,2019
ILE-DE-FRANCE,HAUTS-DE-SEINE,92014,BOURG LA REINE,162.0,2314252.0,9868.0,ificom-2020.xlsx,2020
ILE-DE-FRANCE,HAUTS-DE-SEINE,92014,BOURG LA REINE,181.0,2295596.0,9400.0,ificom-2021.xlsx,2021
ILE-DE-FRANCE,HAUTS-DE-SEINE,92014,BOURG LA REINE,186.0,2317703.0,9888.0,ificom-2022.xlsx,2022
CENTRE-VAL DE LOIRE,CHER,18033,BOURGES,52.0,2087067.0,8250.0,ificom-2022.xlsx,2022
BRETAGNE,FINISTERE,29019,BREST,76.0,2356790.0,10278.0,ificom-2019.xls,2019
BRETAGNE,FINISTERE,29019,BREST,80.0,2413798.0,10697.0,ificom-2020.xlsx,2020
BRETAGNE,FINISTERE,29019,BREST,79.0,2452426.0,11760.0,ificom-2021.xlsx,2021
